"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
44,"LPA","periodic",0.2,3,100,"Sim.1",5,4,3,0.947984709081373,"ut-ut",0.0104630475966734,0.00936913249373976,0.0936727675549344,0.303455884017454,"not chaotic",-0.501100765119275,"not chaotic","not chaotic"
45,"LPA","periodic",0.3,0,100,"Sim.1",1,3,6,0.876564693768319,"gr-ut",-0.105614479035101,-0.109571340381509,0.683229681646213,0.432685089474253,"not chaotic",-0.164833093723323,"not chaotic","not chaotic"
46,"LPA","periodic",0.3,1,100,"Sim.1",3,3,8,0.86688479231221,"gr-log",-0.0533582202082045,-0.0574371332799929,0.229874685089859,0.220589256567127,"not chaotic",-0.202480257781709,"not chaotic","not chaotic"
47,"LPA","periodic",0.3,2,100,"Sim.1",3,3,4,0.875993011769434,"ut-ut",-0.056496145188831,-0.0581964483308984,0.17807777953344,0.168700135743982,"not chaotic",-0.152574486524766,"not chaotic","not chaotic"
48,"LPA","periodic",0.3,3,100,"Sim.1",3,1,8,0.888515457918668,"gr-ut",-0.149366653355194,-0.178691431330818,0.665742587713188,0.101153234602356,"not chaotic",0.467482247892571,"chaotic","not chaotic"
49,"LPA","chaotic",0.01,0,100,"Sim.1",4,1,8,0.996635822199814,"gr-ut",0.102347004635119,0.0875634475155054,0.192503530118386,0.0101126325950684,"chaotic",0.172682770232051,"chaotic","chaotic"
50,"LPA","chaotic",0.01,1,100,"Sim.1",3,1,6,0.987941124075095,"gr-ut",-0.0315217045837654,-0.0473038538947958,0.28900422730956,0.025208356710995,"chaotic",0.23959584815601,"chaotic","not chaotic"
51,"LPA","chaotic",0.01,2,100,"Sim.1",3,1,3,0.967627729035071,"ut-ut",0.234669696306699,0.222912797543261,0.384289788988139,0.0352270754877273,"chaotic",0.315244721032194,"chaotic","chaotic"
52,"LPA","chaotic",0.01,3,100,"Sim.1",3,1,4,0.945085095965297,"ut-ut",0.279388354537677,0.267333654211391,0.503817656560299,0.0784331958705883,"chaotic",0.350088592653946,"chaotic","chaotic"
53,"LPA","chaotic",0.1,0,100,"Sim.1",3,1,3,0.957122870381,"ut-ut",0.220377839115124,0.198159541695107,0.284688461243701,0.0323355681831188,"chaotic",0.221310747604788,"chaotic","chaotic"
54,"LPA","chaotic",0.1,1,100,"Sim.1",5,1,4,0.965390680311818,"ut-ut",0.100822339214302,0.0871804502315379,0.175759356418429,0.0154019255776228,"chaotic",0.145571582286288,"chaotic","chaotic"
55,"LPA","chaotic",0.1,2,100,"Sim.1",3,1,6,0.956974934841614,"ut-ut",0.0288193639687476,0.00424741589978352,0.385387564269531,0.0393137261288817,"chaotic",0.308332661056923,"chaotic","not chaotic"
56,"LPA","chaotic",0.1,3,100,"Sim.1",4,1,6,0.92528904986187,"gr-log",0.0748886009316432,0.0520308005612388,0.283345564413692,0.0260056551835836,"chaotic",0.232374480253868,"chaotic","chaotic"
57,"LPA","chaotic",0.2,0,100,"Sim.1",3,1,6,0.925811805892461,"ut-ut",0.219438233383585,0.19088808464889,0.461704015306362,0.0505602807829688,"chaotic",0.362605864971744,"chaotic","chaotic"
58,"LPA","chaotic",0.2,1,100,"Sim.1",4,1,4,0.927713404370758,"ut-ut",0.17982864546137,0.15684729256835,0.311956358604139,0.0187396350965751,"chaotic",0.275226673814851,"chaotic","chaotic"
59,"LPA","chaotic",0.2,2,100,"Sim.1",4,1,6,0.907906278238105,"gr-log",0.016740654950381,-0.00582434168833426,0.348483378237137,0.0279901043183205,"chaotic",0.293622773773229,"chaotic","not chaotic"
60,"LPA","chaotic",0.2,3,100,"Sim.1",6,3,3,0.888927188650304,"gr-ut",0.0429876783121683,0.0394623035978043,0.119836639597312,0.12383778395859,"chaotic",-0.122885416961525,"not chaotic","chaotic"
61,"LPA","chaotic",0.3,0,100,"Sim.1",4,1,4,0.807119867096552,"gr-ut",0.0702591654870273,0.0500041883118859,0.408993954561941,0.0531075498321008,"chaotic",0.304903156891023,"chaotic","chaotic"
62,"LPA","chaotic",0.3,1,100,"Sim.1",4,1,3,0.730728992210381,"gr-ut",0.168147875579406,0.142858875154617,0.380017062881235,0.0384569868575852,"chaotic",0.304641368640368,"chaotic","chaotic"
63,"LPA","chaotic",0.3,2,100,"Sim.1",3,2,8,0.799561711977831,"gr-log",0.109708028409594,0.0953902326275098,0.308017716063876,0.246241371924972,"chaotic",-0.174615372909069,"not chaotic","chaotic"
64,"LPA","chaotic",0.3,3,100,"Sim.1",3,1,3,0.837323457026915,"ut-ut",0.177476868034731,0.157503378752426,0.472233171033858,0.0535440380294904,"chaotic",0.367286856496057,"chaotic","chaotic"
65,"NPZ","periodic",0.01,0,100,"Sim.1",3,1,2,0.995907488200281,"gr-ut",0.00660943677016158,-0.000632890651976676,0.0170405803760163,0.0073125183878314,"not chaotic",0.00270804433586675,"not chaotic","not chaotic"
66,"NPZ","periodic",0.01,1,100,"Sim.1",2,1,3,0.995824170432599,"gr-ut",0.027380769316429,0.00232413026270069,0.169213525452785,0.0190405607847205,"not chaotic",0.131894026314732,"chaotic","not chaotic"
67,"NPZ","periodic",0.01,2,100,"Sim.1",3,1,3,0.99614866701961,"gr-ut",-0.00332515746886889,-0.00961702110227377,0.116608769958682,0.0145806646754236,"not chaotic",0.0880306671948516,"chaotic","not chaotic"
68,"NPZ","periodic",0.01,3,100,"Sim.1",3,1,3,0.995144898102236,"gr-ut",0.0100470391370715,0.00711859028879231,0.15781291472823,0.0291817824728854,"not chaotic",0.100616621081375,"chaotic","not chaotic"
69,"NPZ","periodic",0.1,0,100,"Sim.1",6,3,0,0.946385028158283,"gr-log",-0.00441388596250208,-0.00915199363125298,0.0559314281438912,0.0716688621287346,"not chaotic",-0.0845395416284286,"not chaotic","not chaotic"
70,"NPZ","periodic",0.1,1,100,"Sim.1",3,6,0.75,0.916020945974748,"ut-ut",-0.00622091300502903,-0.00903461722147889,0.411802713129182,0.176315933198155,"not chaotic",0.066223484060798,"chaotic","not chaotic"
71,"NPZ","periodic",0.1,2,100,"Sim.1",6,1,1,0.956349680354075,"ut-ut",-0.00419580003888981,-0.00494146881733824,0.0718200437148728,0.00496138109974539,"not chaotic",0.0620957367593719,"chaotic","not chaotic"
72,"NPZ","periodic",0.1,3,100,"Sim.1",5,1,0.75,0.937724334169742,"ut-ut",-0.00695595062958379,-0.007879621070715,0.135902041975172,0.00391967821143922,"not chaotic",0.128219472680751,"chaotic","not chaotic"
73,"NPZ","periodic",0.2,0,100,"Sim.1",6,1,2,0.836534123853731,"ut-ut",-0.00732645294842948,-0.0163647382863111,0.116972838180287,0.00855375555307821,"not chaotic",0.100207477296253,"chaotic","not chaotic"
74,"NPZ","periodic",0.2,1,100,"Sim.1",6,1,0.75,0.795840675772095,"ut-ut",-0.00664007376497441,-0.0085330978460878,0.101719147584459,0.0094635369856164,"not chaotic",0.0831706150926507,"chaotic","not chaotic"
75,"NPZ","periodic",0.2,2,100,"Sim.1",6,1,3,0.865762521867895,"ut-ut",-0.0185281949479266,-0.034069144290495,0.0854981903411352,0.00879067977338326,"not chaotic",0.068268457985304,"chaotic","not chaotic"
76,"NPZ","periodic",0.2,3,100,"Sim.1",6,1,2,0.770518741207695,"gr-ut",-0.033726749418295,-0.0396423543011855,0.116255963022048,0.00700740196299321,"not chaotic",0.102521455174581,"chaotic","not chaotic"
77,"NPZ","periodic",0.3,0,100,"Sim.1",2,6,1.5,0.534680903895429,"ut-ut",-0.00758656558388869,-0.0138159862043583,0.48806095756104,0.251569369233012,"not chaotic",-0.00501500613566236,"not chaotic","not chaotic"
78,"NPZ","periodic",0.3,1,100,"Sim.1",2,6,1.5,0.607079671119611,"gr-ut",-0.0216492178875576,-0.024533615030777,0.480382503653516,0.261202081167526,"not chaotic",-0.0315735754348354,"not chaotic","not chaotic"
79,"NPZ","periodic",0.3,2,100,"Sim.1",2,6,0.75,0.637202211779101,"ut-ut",-0.00637682824012192,-0.00882985756289751,0.494504390303416,0.265050245512121,"not chaotic",-0.024994090900341,"not chaotic","not chaotic"
80,"NPZ","periodic",0.3,3,100,"Sim.1",5,1,0.5,0.785816182104913,"gr-ut",-0.024154790313982,-0.0274895888181672,0.163878983062742,0.0124731835549698,"not chaotic",0.139431543295001,"chaotic","not chaotic"
81,"NPZ","chaotic",0.01,0,100,"Sim.1",2,1,3,0.459650991924728,"ut-ut",0.0451015313016442,0.0399843364872055,0.771479477414438,0.137881391984251,"chaotic",0.501231949125306,"chaotic","chaotic"
82,"NPZ","chaotic",0.01,1,100,"Sim.1",2,1,2,0.306616134688305,"ut-ut",-0.276765283488117,-0.285929039816014,0.758546364600872,0.137742036949671,"chaotic",0.488571972179516,"chaotic","not chaotic"
83,"NPZ","chaotic",0.01,2,100,"Sim.1",2,1,3,0.395168778520688,"ut-ut",-0.00896613198905499,-0.0107718266403657,0.680493266811665,0.126340521623229,"chaotic",0.432865844430136,"chaotic","not chaotic"
84,"NPZ","chaotic",0.01,3,100,"Sim.1",3,1,1.5,0.246133153833841,"ut-ut",-0.458969132492858,-0.466683673473439,0.627458536447169,0.0887821621819376,"chaotic",0.453445498570572,"chaotic","not chaotic"
85,"NPZ","chaotic",0.1,0,100,"Sim.1",1,1,3,0.10770089083801,"ut-ut",-0.406593404357022,-0.419070405870374,0.909400137995118,0.438960031258398,"chaotic",0.049038476728657,"chaotic","not chaotic"
86,"NPZ","chaotic",0.1,1,100,"Sim.1",5,2,3,0.148535988238401,"ut-ut",-0.0844193124363929,-0.089696586497342,0.102428949545621,0.137957806319246,"chaotic",-0.167968350840102,"not chaotic","not chaotic"
87,"NPZ","chaotic",0.1,2,100,"Sim.1",4,5,0,0.125217333474704,"ut-ut",-0.0369053111490415,-0.0369403871055546,0.247840815588949,0.134011599046888,"chaotic",-0.0148219185429519,"not chaotic","not chaotic"
88,"NPZ","chaotic",0.1,3,100,"Sim.1",2,1,1.5,0.241111308110378,"ut-ut",-0.796752160237063,-0.801882437114961,0.603928395480175,0.150149539077013,"chaotic",0.309635298889231,"chaotic","not chaotic"
89,"NPZ","chaotic",0.2,0,100,"Sim.1",1,4,2,0.020811563640852,"ut-ut",-0.230469708313837,-0.233704942428716,0.883774730257282,0.499276945435762,"chaotic",-0.0948080827968105,"not chaotic","not chaotic"
