MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
9232,47,Bupalus piniaria,Pine looper or Bordered white,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0648,15,8,10,550,3,Anderson Gilooly 2017,,
9338,1,Bonasa bonasia,Hazel grouse,Chordata,Aves,Galliformes,Terrestrial,429,375,10,60,8,3,,,
9381,47,Bupalus piniaria,Pine looper or Bordered white,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0648,15,8,10,550,3,Anderson Gilooly 2017,,
9382,47,Bupalus piniaria,Pine looper or Bordered white,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0648,15,8,10,550,3,Anderson Gilooly 2017,,
9391,89,Canis lupus,Grey wolf or Timber wolf,Chordata,Mammalia,Carnivora,Terrestrial,45000,1535,24,180,6,5,,,
9393,89,Canis lupus,Grey wolf or Timber wolf,Chordata,Mammalia,Carnivora,Terrestrial,45000,1535,24,180,6,5,,,
9404,11931,Lynx lynx,Eurasian lynx,Chordata,Mammalia,Carnivora,Terrestrial,20000,1227,20,204,2,5,,,
9469,417,Bonasa umbellus,Ruffed grouse,Chordata,Aves,Galliformes,Terrestrial,577,430,10,48,10,4,,,
9470,417,Bonasa umbellus,Ruffed grouse,Chordata,Aves,Galliformes,Terrestrial,577,430,10,48,10,4,,,
9488,416,Lepus americanus,Snowshoe hare or American varying hare,Chordata,Mammalia,Lagomorpha,Terrestrial,2000,450,12,60,16,3,,,
9489,78,Mustela vison,North American mink,Chordata,Mammalia,Carnivora,Terrestrial,1000,560,12,120,5,5,,,
9490,78,Mustela vison,North American mink,Chordata,Mammalia,Carnivora,Terrestrial,1000,560,12,120,5,5,,,
9491,79,Ondatra zibethicus,Muskrat,Chordata,Mammalia,Rodentia,Terrestrial,1000,575,12,60,18,4,,,
9492,79,Ondatra zibethicus,Muskrat,Chordata,Mammalia,Rodentia,Terrestrial,1000,575,12,60,18,4,,,
9493,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9494,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9495,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9496,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9497,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9498,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9499,405,Vulpes ,Fox,Chordata,Mammalia,Carnivora,Terrestrial,5200,1100,12,144,5,4,used N American red fox,,
9500,59,Canis latrans,Coyote or  Prarie wolf,Chordata,Mammalia,Carnivora,Terrestrial,15000,1300,12,180,6,5,,,
9501,59,Canis latrans,Coyote or  Prarie wolf,Chordata,Mammalia,Carnivora,Terrestrial,15000,1300,12,180,6,5,,,
9502,59,Canis latrans,Coyote or  Prarie wolf,Chordata,Mammalia,Carnivora,Terrestrial,15000,1300,12,180,6,5,,,
9503,55,Martes pennanti,Fisher or  Pekan,Chordata,Mammalia,Carnivora,Terrestrial,2876,975,12,120,6,5,,,
9517,11946,Callosobruchus chinensis,"Seed beetle, Pulse beetle or Adzuki bean beetle",Arthropoda,Insecta,Coleoptera,Terrestrial,0.0025,3.5,0.5,5.9,60,3,"Hozumi, N., & Miyatake, T. (2005). Body-size dependent difference in death-feigning behavior of adult Callosobruchus chinensis. Journal of Insect Behavior, 18(4), 557-566.",,
